,imdb_score,director_name,movie_title
2765,9.5,John Blanchard,Towering Inferno             
1937,9.3,Frank Darabont,The Shawshank Redemption 
3466,9.2,Francis Ford Coppola,The Godfather 
4409,9.1,John Stockwell,Kickboxer: Vengeance 
2824,9.1,,Dekalog             
3207,9.1,,Dekalog             
66,9.0,Christopher Nolan,The Dark Knight 
2837,9.0,Francis Ford Coppola,The Godfather: Part II 
3481,9.0,,Fargo             
339,8.9,Peter Jackson,The Lord of the Rings: The Return of the King 
4822,8.9,Sidney Lumet,12 Angry Men 
4498,8.9,Sergio Leone,"The Good, the Bad and the Ugly "
3355,8.9,Quentin Tarantino,Pulp Fiction 
1874,8.9,Steven Spielberg,Schindler's List 
683,8.8,David Fincher,Fight Club 
836,8.8,Robert Zemeckis,Forrest Gump 
270,8.8,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring 
2051,8.8,Irvin Kershner,Star Wars: Episode V - The Empire Strikes Back 
97,8.8,Christopher Nolan,Inception 
1842,8.8,,It's Always Sunny in Philadelphia             
459,8.8,,Daredevil             
1620,8.7,,Friday Night Lights             
1818,8.7,,The Honeymooners             
654,8.7,Lana Wachowski,The Matrix 
4468,8.7,Sadyk Sher-Niyaz,Queen of the Mountains 
3867,8.7,Milos Forman,One Flew Over the Cuckoo's Nest 
340,8.7,Peter Jackson,The Lord of the Rings: The Two Towers 
3024,8.7,George Lucas,Star Wars: Episode IV - A New Hope 
4747,8.7,Akira Kurosawa,Seven Samurai 
4924,8.7,Cary Bell,Butterfly Girl 
4372,8.7,Mitchell Altieri,A Beginner's Guide to Snuff 
3579,8.7,,Gomorrah             
1903,8.7,Martin Scorsese,Goodfellas 
4029,8.7,Fernando Meirelles,City of God 
648,8.6,Steven Spielberg,Saving Private Ryan 
1600,8.6,David Fincher,Se7en 
3175,8.6,Tony Kaye,American History X 
2373,8.6,Hayao Miyazaki,Spirited Away 
1499,8.6,,Luther             
404,8.6,,Hannibal             
2158,8.6,Jonathan Demme,The Silence of the Lambs 
4049,8.6,Frank Capra,It's a Wonderful Life 
96,8.6,Christopher Nolan,Interstellar 
4526,8.6,Michael Curtiz,Casablanca 
3766,8.6,Sergio Leone,Once Upon a Time in the West 
4427,8.6,Charles Chaplin,Modern Times 
3816,8.6,Mike Mayhall,Running Forever 
3592,8.6,Bryan Singer,The Usual Suspects 
2952,8.6,,Spartacus: War of the Damned             
3277,8.5,Ridley Scott,Alien 
3716,8.5,Christopher Nolan,Memento 
2363,8.5,Robert Zemeckis,Back to the Future 
288,8.5,James Cameron,Terminator 2: Judgment Day 
2152,8.5,Steven Spielberg,Raiders of the Lost Ark 
1448,8.5,Roman Polanski,The Pianist 
3,8.5,Christopher Nolan,The Dark Knight Rises 
3931,8.5,Ron Fricke,Samsara 
4921,8.5,Majid Majidi,Children of Heaven 
296,8.5,Quentin Tarantino,Django Unchained 
361,8.5,Martin Scorsese,The Departed 
4869,8.5,,Happy Valley             
3870,8.5,Raja Menon,Airlift 
4028,8.5,Damien Chazelle,Whiplash 
509,8.5,Roger Allers,The Lion King 
1664,8.5,,Entourage             
1233,8.5,Christopher Nolan,The Prestige 
4359,8.5,Stanley Kubrick,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb 
1035,8.5,,Outlander             
712,8.5,Frank Darabont,The Green Mile 
1571,8.5,Francis Ford Coppola,Apocalypse Now 
2242,8.5,Alfred Hitchcock,Psycho 
283,8.5,Ridley Scott,Gladiator 
4259,8.5,Florian Henckel von Donnersmarck,The Lives of Others 
4017,8.4,Jay Oliva,"Batman: The Dark Knight Returns, Part 2 "
4937,8.4,Bill Melendez,A Charlie Brown Christmas 
2686,8.4,Catherine Owens,U2 3D 
4496,8.4,Quentin Tarantino,Reservoir Dogs 
857,8.4,,Stargate SG-1             
3982,8.4,,M*A*S*H             
2606,8.4,Sam Mendes,American Beauty 
2644,8.4,David Lean,Lawrence of Arabia 
4105,8.4,Chan-wook Park,Oldboy 
4748,8.4,Marius A. Markevicius,The Other Dream Team 
2486,8.4,James Cameron,Aliens 
573,8.4,Mel Gibson,Braveheart 
1714,8.4,Sergio Leone,Once Upon a Time in America 
